图书名,价格,出版社,出版年,国家,作者
人间词话,9.8,上海古籍出版社,1998,中国,王国维
冬牧场,29.8,新星出版社,2012,中国,李娟
罪与罚,23.0,上海译文出版社,2006,俄,陀思妥耶夫斯基
道德经,4.5,陕西人民出版社,1996,中国,黄元吉
绝叫,58.0,北京联合出版公司,2020,日,叶真中显
毛泽东选集 第一卷,40.0,人民出版社,1991,中国,毛泽东
棋王·树王·孩子王：阿城文集 之一,58.0,江苏凤凰文艺出版社,2016,中国,阿城
看见,39.8,广西师范大学出版社,2013,中国,柴静
也许你该找个人聊聊,68.0,上海文化出版社,2021,美,洛莉·戈特利布
浪潮之巅,55.0,电子工业出版社,2011,中国,吴军
离开的，留下的：那不勒斯四部曲3,62.0,人民文学出版社,2017,意,埃莱娜·费兰特
叫魂：1768年中国妖术大恐慌,38.0,生活·读书·新知三联书店 上海三联书店,2014,美,孔飞力
爱你就像爱生命,18.0,上海锦绣文章出版社,2008,中国,王小波
失明症漫记,29.5,南海出版公司,2014,葡,若泽·萨拉马戈
人生的枷锁,32.0,上海译文出版社,2007,英,毛姆
桶川跟踪狂杀人事件,45.0,四川人民出版社,2021,日,清水洁
我们仨,18.8,生活·读书·新知三联书店,2003,中国,杨绛
看不见的城市,25.0,译林出版社,2012,意,伊塔洛·卡尔维诺
巨人的陨落：世纪三部曲,129.8,江苏凤凰文艺出版社,2016,英,肯·福莱特
受戒：汪曾祺自选集,3.95,漓江出版社,1987,中国,汪曾祺
少年凯歌,10.0,人民文学出版社,2001,中国,人民文学出版社
教父,23.3,译林出版社,1997,美,马里奥·普佐
人生的智慧,28.0,上海人民出版社,2008,德,叔本华
海子的诗,15.4,人民文学出版社,1999,中国,海子
飞鸟集,16.8,哈尔滨出版社,2004,印,罗宾德拉纳德·泰戈尔
遥远的向日葵地,38.0,花城出版社,2017,中国,李娟
鹿鼎记,108.0,广州出版社 花城出版社,2008,中国,金庸
斯通纳,49.0,上海人民出版社,2016,美,约翰·威廉斯
茶馆,9.8,人民文学出版社,2002,中国,老舍
陆犯焉识,35.0,作家出版社,2011,中国,严歌苓
克莱因壶,48.0,化学工业出版社,2019,日,冈岛二人
一间只属于自己的房间,45.0,天津人民出版社,2019,英,弗吉尼亚·伍尔夫
额尔古纳河右岸,32.0,人民文学出版社,2019,中国,迟子建
西线无战事,49,上海文艺出版社,2021,德,埃里希·玛丽亚·雷马克
筚路维艰：中国社会主义路径的五次选择,45.0,社会科学文献出版社,2014,中国,萧冬连
人间草木,20.0,江苏文艺出版社,2005,中国,汪曾祺
十万个为什么,30.0,少年儿童出版社,1962,中国,少年儿童出版社
边城,12.0,北岳文艺出版社,2002,中国,沈从文
梦里花落知多少,28.0,北京十月文艺出版社,2007,中国,三毛
金色梦乡,35.0,译林出版社,2010,日,伊坂幸太郎
时间简史：插图本,45.0,湖南科学技术出版社,2010,英,史蒂芬·霍金
面纱,39.8,江西人民出版社,2016,英,威廉·萨默塞特·毛姆
王尔德童话,6.0,译林出版社,2003,英,王尔德
13 67：陳浩基作品2,350,皇冠文化出版有限公司,2014,中国,陳浩基
这些人，那些事,28.0,译林出版社,2011,中国,吴念真
小径分岔的花园,23.0,上海译文出版社,2015,阿根廷,豪·路·博尔赫斯
流俗地,55,北京十月文艺出版社,2021,马来西亚,黎紫书
昨日的世界：一个欧洲人的回忆,32.0,广西师范大学出版社,2004,奥,斯蒂芬·茨威格
南京大屠杀：第二次世界大战中被遗忘的大浩劫,49.0,中信出版社,2015,美,张纯如（Iris Chang）
绿毛水怪,30.0,时代文艺出版社,2009,中国,王小波
你当像鸟飞往你的山,59.0,南海出版公司,2019,中国,塔拉·韦斯特弗
2001：太空漫游：《太空漫游四部曲》第1部,62.0,上海文艺出版社,2019,英,阿瑟·克拉克
平面国：多维空间传奇往事,39.8,上海文化出版社,2020,英,埃德温·A.艾勃特
故事：材质·结构·风格和银幕剧作的原理,68.0,天津人民出版社,2014,美,罗伯特·麦基
经济学原理（上下）,88.0,机械工业出版社,2003,美,曼昆
我的天才女友：那不勒斯四部曲1,42.0,人民文学出版社,2017,意,埃莱娜·费兰特
长日将尽,48,上海译文出版社,2018,英,石黑一雄
海的女儿,0.43,上海译文出版社,1978,中国,安徒生
